"Name";"global_id";"Razdel";"Prazdel";"Kod";"Nomdescr";"Idx";
"Производство электрических ламп и осветительного оборудования";"273129629";"D";"DL";"31.50";"Эта группировка включает:^ - производство ламп накаливания,  газоразрядных и дуговых ламп^ - производство светильников и  осветительных устройств: портативных  электрических фонарей,  работающих от собственного источника энергии,  электрических  светильников и арматуры к ним, обычно используемых для  комнатного освещения (люстр, бра, торшеров, прикроватных и ночных  светильников, настольных ламп и др.), световых указателей,  включая дорожные со  встроенным источником света, световых табло  и аналогичных изделий^ - производство неэлектрических  светильников и осветительных устройств^ - производство  фотографических одноразовых ламп-вспышек в форме куба и  аналогичных изделий, кроме электронных ламп-вспышек^ -  производство наборов осветительных приборов, используемых для  украшения  новогодних елок^ - производство прожекторов,  осветительных ламп узконаправленного света и других  осветительных устройств, например, используемых для освещения  открытых  общественных мест или транспортныхмагистралей^ -  производство частей ламп, светильников и осветительных устройств^  Эта группировка не включает:^ - производство электровакуумных  приборов с термокатодом, см. 32.10.4^ - производство  фотографических разрядных (электронных) ламп-вспышек, см.  33.40";"1349";
"Производство прочего электрооборудования";"273129631";"D";"DL";"31.6";"";"1355";
"Производство электрооборудования для двигателей и транспортных средств";"273129633";"D";"DL";"31.61";"Эта группировка включает:^- производство комплектов проводов для свечей зажигания и прочих комплектов проводов, используемых в автомобилях, самолетах или судах^- производство электрооборудования для зажигания и запуска двигателей внутреннего сгорания: магнето, стартеров-генераторов, катушек зажигания, свечей зажигания, стартеров, пусковых двигателей, генераторов (постоянного и переменного тока), регуляторов напряжения и т.п.^- производство электрического осветительного, звуко- и светосигнальногооборудования для мотоциклов, велосипедов и автомобилей: фар всех видов, клаксонов, сирен и т.п.^- производство стеклоочистителей, электрических противообледенителей и устройств, предупреждающих запотевание стекол, для автомобилей и мотоциклов^- производство генераторов постоянного тока для велосипедов";"1356";
"Производство прочего электрооборудования, не включенного в другие  группировки, кроме электрооборудования для двигателей и транспортных средств";"273129635";"D";"DL";"31.62";"";"1360";
"Производство, кроме ремонта, прочего электрооборудования, не  включенного в другие группировки, без электрооборудования для двигателей и  транспортных средств";"273129637";"D";"DL";"31.62.1";"Эта группировка включает:^ - производство устройств  электрической сигнализации, обеспечения безопасности  и/или  управления движением для железных и автомобильных дорог,  трамвайных и  внутренних водных путей, площадок для парковки,  портовых сооружений или  аэродромов, кроме механических и  электромеханических устройств^ - производство различных  электрических устройств звуковой или световой  сигнализации  (звонков, сирен, индикаторных табло, устройств пожарной и  противовзломной сигнализациии т.п.)^ - производство  электромагнитов, постоянных магнитов, электромагнитных муфт,  патронов и тормозов, электромагнитных подъемных приспособлений и  их частей^ - производство электрических машин и аппаратуры  специализированного  назначения: ускорителей частиц, генераторов  сигналов, бортовых регистраторов  параметров полета, микшерных  устройств и устройств шумоподавления для  звукозаписывающей  аппаратуры, оборудования для гальванопокрытия, электролиза  и  электрофореза и т.п.^ - производство электрических изоляторов,  кроме стеклянных и керамических,  изолирующей арматуры для  электрических машин и электрооборудования и  электроизоляционных  трубок, кроме выполненных из керамики и пластмасс^ - производство  угольных электродов, а также щеток и прочих изделий из графита и  других видов углерода с металлом или без металла, применяемых в  электротехнике";"1361";
"Предоставление услуг по монтажу, ремонту и техническому обслуживанию  прочего электрооборудования, не включенного в другие группировки";"273129639";"D";"DL";"31.62.9";"";"1367";
"Производство электронных компонентов, аппаратуры для радио, телевидения и связи";"273129640";"D";"DL";"32";"Этот класс включает производство оборудования для телевидения и радиовещания, приемного, записывающего и воспроизводящего оборудования^В класс включается производство всей продукции такого рода, от профессиональной аппаратуры до изделий широкого потребления^Данный класс включает также предоставление услуг по монтажу и ремонту профессиональной аппаратуры^Ремонт бытовой аппаратуры, см. 52.7^Монтаж электропроводки, установка антенн или систем сигнализации, см. 45.3";"1368";
"Производство электро- и радиоэлементов, электровакуумных приборов";"273129642";"D";"DL";"32.1";"Эта группировка не включает:^ - производство трансформаторов,  сглаживающих и прочих электромеханических  фильтров и линий  задержки, см. 31.10^ - производство переключателей, соединителей  и прочих коммутационных  элементов, см. 31.20^ - производство  электромагнитов, см. 31.62.1";"1370";
"Производство электро- и радиоэлементов, электровакуумных приборов";"273129644";"D";"DL";"32.10";"";"1372";
"Производство электрических конденсаторов, включая силовые";"273129646";"D";"DL";"32.10.1";"";"1373";
