"Name";"global_id";"Nomdescr";"Razdel";"Kod";"Idx";
"Денежное посредничество";"273478171";"Эта группировка включает:^- получение денежно-кредитными учреждениями средств в форме перемещаемых депозитов (т. е. средств, закрепленных в денежном выражении), которые поступают на нерегулярной основе и не от финансовых источников (кроме деятельности Центрального банка)";"K";"64.1";"K.64.1";
"Деятельность Центрального банка Российской Федерации (Банка России)";"273478172";"Эта группировка включает:^- во взаимодействии с Правительством Российской Федерации разработку и проведение единой государственной денежно-кредитной политики;^- монопольное осуществление эмиссии наличных денег и организацию наличного денежного обращения;^- выполнение функции кредитора последней инстанции кредитных организаций, организацию системы их рефинансирования;^- установление правил осуществления расчетов в Российской Федерации;^- установление правил проведения банковских операций;^- обслуживание счетов бюджетов всех уровней бюджетной системы Российской Федерации;^- эффективное управление золотовалютными резервами;^- принятие решения о государственной регистрации кредитных организаций, выдачу кредитным организациям лицензии на осуществление банковских операций, приостановление их действия и отзыв;^- надзор за деятельностью кредитных организаций и банковских групп;^- осуществление самостоятельно или по поручению Правительства Российской Федерации всех видов банковских операций и иных сделок, необходимых для выполнения функций Банка России;^- организацию и осуществление валютного регулирования и валютного контроля в соответствии с законодательством Российской Федерации;^- определение порядка осуществления расчетов с международными организациями, иностранными государствами, а также с юридическими и физическими лицами;^- установление правил бухгалтерского учета и отчетности для банковской системы Российской Федерации;^- установление и публикацию официальных курсов иностранных валют по отношению к рублю;^- участие в разработке прогноза платежного баланса Российской Федерации и организации составления платежного баланса Российской Федерации;^- установление порядка и условий осуществления валютными биржами деятельности по организации проведения операций по покупке и продаже иностранной валюты, осуществлению выдачи, приостановлению и отзыву разрешений валютным биржам на организацию проведения операций по покупке и продаже иностранной валюты;^- анализ и прогнозирование состояния экономики Российской Федерации в целом и по регионам, опубликование соответствующих материалов и статистических данных;^- осуществление выплат Банка России по вкладам физических лиц в признанных банкротами банках, не участвующих в системе обязательного страхования вкладов физических лиц в банках Российской Федерации, в случаях и порядке, которые предусмотрены федеральным законом;^- выполнение функции депозитария средств Международного валютного фонда в валюте Российской Федерации, осуществление операций и сделок, предусмотренных статьями Соглашения Международного валютного фонда и договорами с Международным валютным фондом;^- осуществление иной деятельности в соответствии с федеральными законами";"K";"64.11";"K.64.11";
"Денежное посредничество прочее";"273478174";"Эта группировка включает:^- аккумулирование свободных денежных средств различных экономических субъектов и предоставление их от имени организации на определенных условиях^Данные виды деятельности осуществляются кредитными организациями (банками и небанковскими кредитными организациями) на основании лицензии, выдаваемой Банком России^Эта группировка также включает:^- привлечение денежных средств физических и юридических лиц во вклады;^- размещение привлеченных средств от своего имени и за свой счет;^- открытие и ведение банковских счетов физических и юридических лиц;^- осуществление расчетов по поручению физических и юридических лиц, в том числе банковкорреспондентов, по их банковским счетам;^- инкассацию денежных средств, векселей, платежных и расчетных документов и кассовое обслуживание физических и юридических лиц;^- привлечение во вклады и размещение драгоценных металлов;^- выдачу банковских гарантий;^- осуществление переводов денежных средств по поручению физических лиц без открытия банковских счетов, за исключением почтовых переводов^Эта группировка не включает:^- предоставление кредитов на покупку домов специализированными учреждениями, не принимающими депозиты, см. 64.92;^- деятельность по обработке сделок и расчетов по кредитным карточкам, см. 66.19;^- деятельность по приему платежей физических лиц платежными агентами (юридическими лицами или индивидуальными предпринимателями) и банковскими платежными агентами (организациями, не являющимися кредитными организациями и индивидуальными предпринимателями), см. 66.19";"K";"64.19";"K.64.19";
"Деятельность холдинговых компаний";"273478176";"";"K";"64.2";"K.64.2";
"Деятельность холдинговых компаний";"273478178";"Эта группировка включает:^- деятельность холдинговых компаний, т. е. подразделений, владеющих активами (контрольным пакетом акций) группы дочерних корпораций с целью контроля и управления ими^Холдинговые компании данной группировки не предоставляют никаких услуг другим компаниям, акциями которых они владеют, т. е. они не управляют и не контролируют другие подразделения^Эта группировка не включает:^- управление активами компаний и предприятий, стратегическое планирование и принятие решений компанией, см. 70.10";"K";"64.20";"K.64.20";
"Деятельность инвестиционных фондов и аналогичных финансовых организаций";"273478180";"";"K";"64.3";"K.64.3";
"Деятельность инвестиционных фондов и аналогичных финансовых организаций";"273478182";"Эта группировка включает:^- деятельность юридических лиц по привлечению денежных средств и иного имущества путем размещения акций в целях их объединения и последующего инвестирования в объекты, предусмотренные Федеральным законом ""Об инвестиционных фондах""^Эти организации получают проценты, дивиденды и прочие доходы от собственности и не получают доход от продажи услуг^Эта группировка включает:^- деятельность акционерных инвестиционных фондов, паевых акционерных фондов, открытых инвестиционных фондов;^- закрытых инвестиционных фондов, инвестиционных трастовых фондов, трастов, осуществляющих управление от имени совладельцев в соответствии с трастовым соглашением, завещанием или соглашением агентства^Эта группировка не включает:^- деятельность инвестиционных фондов, которые получают доход от продажи товаров или услуг, см. группировку ОКВЭД согласно их основной деятельности;^- деятельность холдинговых компаний, см. 64.20;^- пенсионное страхование, см. 65.30;^- деятельность по управлению активами, см. 66.30";"K";"64.30";"K.64.30";
"Деятельность по предоставлению прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению";"273478184";"Эта группировка включает:^- предоставление финансовых услуг, за исключением деятельности по предоставлению финансовых услуг финансовыми организациями^Эта группировка не включает:^- страхование и пенсионное обеспечение, см.65";"K";"64.9";"K.64.9";
"Деятельность по финансовой аренде (лизингу/сублизингу)";"273478186";"Эта группировка включает:^- деятельность компаний, оказывающих услуги по предоставлению имущества в лизинг^(сублизинг) в качестве лизингодателя (сублизингодателя)^Эта группировка не включает:^- операционный лизинг, см. 77";"K";"64.91";"K.64.91";
"Деятельность по финансовой аренде (лизингу/сублизингу) племенных животных";"273478188";"";"K";"64.91.1";"K.64.91.1";
"Деятельность по финансовой аренде (лизингу/сублизингу) в прочих областях, кроме племенных животных";"273478190";"";"K";"64.91.2";"K.64.91.2";
"Предоставление займов и прочих видов кредита";"273478192";"Эта группировка включает:^- деятельность по финансовому обслуживанию (т. е. предоставление денежных средств учреждениями, не вовлеченными в денежное посредничество в случаях, когда предоставление кредита может принимать различные формы, такие как ссуды, ипотека, кредитные карточки и т. д.)^Эта группировка включает:^- деятельность по предоставлению следующих видов услуг: предоставление потребительского кредита, финансирование международной торговли, предоставление промышленными банками долгосрочного финансирования промышленности, предоставление денежного займа, не связанного с банковской системой, предоставление кредитов на покупку домов специализированными учреждениями, не принимающими депозиты, предоставление услуг ломбардами и ростовщиками^Эта группировка не включает:^- предоставление кредитов на покупку домов специализированными учреждениями, принимающими депозиты, см. 64.19;^- операционный лизинг, согласно типу лизинговых товаров, см. 77;^- предоставление прав на выдачу средств в членских организациях, см. 94.99";"K";"64.92";"K.64.92";
"Деятельность по предоставлению потребительского кредита";"273478194";"";"K";"64.92.1";"K.64.92.1";
"Деятельность по предоставлению займов промышленности";"273478196";"";"K";"64.92.2";"K.64.92.2";
"Деятельность по предоставлению денежных ссуд под залог недвижимого имущества";"273478198";"";"K";"64.92.3";"K.64.92.3";
"Деятельность по предоставлению кредитов на покупку домов специализированными учреждениями, не принимающими депозиты";"273478200";"";"K";"64.92.4";"K.64.92.4";
"Деятельность по предоставлению ломбардами краткосрочных займов под залог движимого имущества";"273478201";"";"K";"64.92.6";"K.64.92.6";
"Деятельность микрофинансовая";"273478203";"Эта группировка включает:^- деятельность юридических лиц, имеющих статус микрофинансовой организации, а также иных юридических лиц, имеющих право на осуществление микрофинансовой деятельности по предоставлению микрозаймов (микрофинансирование)";"K";"64.92.7";"K.64.92.7";
"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки";"273478205";"Эта группировка включает:^- прочие виды деятельности в сфере финансовых услуг, прежде всего связанные с распределением финансовых средств, кроме предоставления займов, включая факторинговые услуги, заключение свопов, опционов и прочих срочных сделок;^- деятельность, связанную с частным инвестированием, например деятельность инвестиционных фондов (кроме акционерных);^- деятельность компаний по венчурному инвестированию и пр.^Эта группировка не включает:^- финансовый лизинг, см. 64.91;^- операционный лизинг, согласно типу лизинговых товаров, см. 77;^- страхование и деятельность по негосударственному пенсионному обеспечению, см. 65;^- обязательное социальное страхование и государственное пенсионное обеспечение, см. 84.30;^- поручительскую деятельность в членских организациях, см. 94.99;^- операции с ценными бумагами по поручению других лиц, см. 66.12;^- покупку, продажу и аренду недвижимости, см. 68;^- инкассацию векселей без долговой скупки, см. 82.91;^- деятельность по управлению холдинговыми компаниями, см. 64.20";"K";"64.99";"K.64.99";
"Вложения в ценные бумаги";"273478206";"Эта группировка включает:^- капиталовложения в акции, облигации, векселя, ценные бумаги акционерных фондов и паевых инвестиционных фондов и т. п.";"K";"64.99.1";"K.64.99.1";
"Деятельность дилерская";"273478207";"Эта группировка включает:^- проведение операций с ценными бумагами, осуществляемые за собственный счет^Эта группировка не включает:^- проведение операций с ценными бумагами по поручению других лиц, см. 66.12";"K";"64.99.2";"K.64.99.2";
"Капиталовложения в уставные капиталы, венчурное инвестирование, в том числе посредством инвестиционных компаний";"273478209";"Эта группировка включает:^- капиталовложения в собственность, осуществляемые, в основном, за счет других финансовых посредников, например траст-компаний^Эта группировка не включает:^- покупку, продажу и аренду недвижимого имущества, см. 68";"K";"64.99.3";"K.64.99.3";
"Заключение свопов, опционов и других срочных сделок";"273478211";"";"K";"64.99.4";"K.64.99.4";
"Предоставление факторинговых услуг";"273478212";"";"K";"64.99.5";"K.64.99.5";
"Деятельность по финансовой взаимопомощи";"273478214";"";"K";"64.99.6";"K.64.99.6";
"Деятельность специализированного депозитария инвестиционных фондов, паевых инвестиционных фондов, негосударственных пенсионных фондов";"273478216";"";"K";"64.99.7";"K.64.99.7";
"Деятельность ипотечных агентов, управляющих ипотечным покрытием; деятельность специализированных депозитариев ипотечного покрытия";"273478217";"";"K";"64.99.8";"K.64.99.8";
"Деятельность жилищных накопительных кооперативов";"273478219";"";"K";"64.99.9";"K.64.99.9";
"Страхование, перестрахование, деятельность негосударственных пенсионных фондов, кроме обязательного социального обеспечения";"273478220";"Эта группировка включает:^- ежегодное страхование, а также правила страхования и реинвестирования для создания пакета финансовых активов для разрешения будущих претензий^Также содержит предоставление прямого страхования и перестрахования";"K";"65";"K.65";
"Страхование";"273478222";"Эта группировка включает:^- страхование жизни с существенным элементом сбережения или без него, а также иное страхование^Эта группировка не включает:^- деятельность в области обязательного социального страхования, государственного пенсионного обеспечения, см. 84.30;^- деятельность по предоставлению социальной помощи и социальных услуг, см. 88.10, 88.9;^- вспомогательную деятельность в сфере страхования и негосударственного пенсионного обеспечения, см. 66.2";"K";"65.1";"K.65.1";
"Страхование жизни";"273478225";"Эта группировка включает:^- ежегодное страхование жизни, оформление страховых полисов выплат по недееспособности, несчастному случаю со смертельным исходом и страховых полисов по разрыву отношений (с элементом существенных сбережений либо без него)";"K";"65.11";"K.65.11";
"Страхование, кроме страхования жизни";"273478227";"Эта группировка включает:^- предоставление страховых услуг, кроме страхования жизни: страхование от несчастного случая и пожара, добровольное медицинское страхование, страхование туристов, страхование имущества, страхование рисков, страхование наземных, водных, воздушных и космических транспортных средств, страхование на случай денежных убытков и гражданской ответственности";"K";"65.12";"K.65.12";
"Страхование медицинское";"273478228";"Эта группировка включает:^- добровольное медицинское страхование (ДМС), осуществляемое за счет прибыли предприятий и организаций или личных средств граждан путем заключения страховых договоров на получение дополнительного медицинского обслуживания, сверх установленного программами социального страхования. ДМС страхует не здоровье, но затраты на лечение; последние возмещаются застрахованному клиенту обыкновенно по этапу медицинского вмешательства (фармакология, диагностика, стационар) или по видам оказанной медицинской помощи (стоматология, гинекология, косметология, случай смерти), или по долям расходов на оплату оказанной медицинской помощи (полное возмещение, процентное возмещение, возмещение в пределах определенной суммы)^Эта группировка не включает:^- деятельность, связанную с управлением социальными программами в области здравоохранения, см. 84.12;^- страхование от несчастных случаев и болезней, см. 65.12.5;^- деятельность, связанную с предоставлением пособий по болезни, материнству, по случаю потери трудоспособности, государственное медицинское страхование, см. 84.30;^- предоставление социальной помощи и социальных услуг, см. 88.10, 88.9";"K";"65.12.1";"K.65.12.1";
"Страхование имущества";"273478229";"Страхование имущества - вид деятельности по добровольному имущественному страхованию, предусматривающий страхование предметов домашней обстановки, обихода и потребления, используемых в личном хозяйстве и предназначенных для удовлетворения бытовых и культурных потребностей семьи^Эта группировка включает:^- страхование загородных домов; квартир; внутренней отделки помещений; средств наземного, водного и воздушного транспорта, грузов; домашнего имущества; оборудования; бань, гаражей, хозяйственных построек, заборов, теплиц и т. п. предметов ландшафтного дизайна; строительных материалов; предметов искусства, антиквариат и т. п.; товарно-материальных ценностей; земельных участков; сооружений над местами захоронения от пожара, залива, от стихийных бедствий; от механических повреждений; от противоправных действий третьих лиц^Эта группировка не включает:^- страхование рисков, см. 65.12.5";"K";"65.12.2";"K.65.12.2";
"Страхование гражданской ответственности";"273478231";"Эта группировка включает:^- страхование гражданской ответственности (владельцев автотранспортных средств, перевозчиков, предприятий - источников повышенной опасности);^- страхование ответственности работодателя на случай причинения вреда здоровью работника;^- страхование персональной ответственности перед третьими лицами из-за небрежности страхователя или членов его семьи;^- страхование ответственности производителя товара (посредника или продавца) перед потребителями и другими лицами за вред, болезнь или убыток (ущерб), возникающие в результате потребления товара;^- страхование ответственности за нанесение вреда экологии;^- страхование ответственности судовладельцев;^- страхование профессиональной ответственности (например, адвоката, нотариуса, врача и других специалистов);^- страхование ответственности владельца автотранспортного средства при выезде за рубеж;^- другие виды страхования ответственности^Эта группировка не включает:^- услуги по страхованию рисков, см. 65.12.5";"K";"65.12.3";"K.65.12.3";
"Страхование от несчастных случаев и болезней";"273478234";"Эта группировка не включает:^- страхование жизни, см. 65.11;^- добровольное медицинское страхование, см. 65.12.1";"K";"65.12.4";"K.65.12.4";
